artifact_id;image_name;image_path;article_id
0-19_p023_faae9bc7;0-19_p023_faae9bc7_img2_f25c31628d_251e0abe24eb.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-19_p023_faae9bc7_img2_f25c31628d_251e0abe24eb.jpg;140
0-19_p023_faae9bc7;0-19_p023_faae9bc7_img3_1bb0a145f1_3b779a1b9e45.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-19_p023_faae9bc7_img3_1bb0a145f1_3b779a1b9e45.jpg;140
0-21_p002_6e218938;0-21_p002_6e218938_img1_1b31e0ad7b_00986f73c8f0.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p002_6e218938_img1_1b31e0ad7b_00986f73c8f0.jpg;154
0-21_p002_6e218938;0-21_p002_6e218938_img2_e2584e26b7_39e806bb6292.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p002_6e218938_img2_e2584e26b7_39e806bb6292.jpg;154
0-21_p002_6e218938;0-21_p002_6e218938_img3_96f5fb70a2_e169cb864f77.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p002_6e218938_img3_96f5fb70a2_e169cb864f77.jpg;154
0-21_p012_cb36e5e4;0-21_p012_cb36e5e4_img1_72df685e8f_2eae40775884.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p012_cb36e5e4_img1_72df685e8f_2eae40775884.jpg;155
0-21_p012_cb36e5e4;0-21_p012_cb36e5e4_img2_e63115a2bc_3dfcdf1c50ac.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p012_cb36e5e4_img2_e63115a2bc_3dfcdf1c50ac.jpg;155
0-21_p013_5466316d;0-21_p013_5466316d_img1_436cb6f7f9_5a7b6e9bfd02.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p013_5466316d_img1_436cb6f7f9_5a7b6e9bfd02.jpg;156
0-21_p014_587c3579;0-21_p014_587c3579_img1_37a6667d22_1081595c8f4c.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p014_587c3579_img1_37a6667d22_1081595c8f4c.jpg;157
0-21_p015_8de652d6;0-21_p015_8de652d6_img1_c79e50838a_95fe0a6309d5.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p015_8de652d6_img1_c79e50838a_95fe0a6309d5.jpg;158
0-21_p016_7c432e20;0-21_p016_7c432e20_img1_0b402f51bf_a808510c2039.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p016_7c432e20_img1_0b402f51bf_a808510c2039.jpg;159
0-21_p016_7c432e20;0-21_p016_7c432e20_img2_23c4c82b51_2823b763bbd9.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p016_7c432e20_img2_23c4c82b51_2823b763bbd9.jpg;159
0-21_p016_7c432e20;0-21_p016_7c432e20_img3_ce5088da52_c51984c99576.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p016_7c432e20_img3_ce5088da52_c51984c99576.jpg;159
0-21_p026_e8ab5e07;0-21_p026_e8ab5e07_img1_6dea6ad49c_3590f69d4958.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-21_p026_e8ab5e07_img1_6dea6ad49c_3590f69d4958.jpg;161
0-22_p004_4c5b844c;0-22_p004_4c5b844c_img1_8e21b54f9f_d5252084804c.webp;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-22_p004_4c5b844c_img1_8e21b54f9f_d5252084804c.webp;201
