id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
1015,Revanta and His Entourage,Yes,2016,USA,India,Sandstone,India,"Sandstone panel depicting Revanta Revanta, an equestrian deity who is of significant importance in Hinduism; panel originates from India in the 8th Century CE.
Dimensions: approximately 30 x 53 in.",Sculpture,,3,,,,Subhash Kapoor,,
1016,Stele of Rishabhanata,Yes,2016,USA,India,Sandstone,India,"Sandstone 10th Century CE stele of Rishabhanata, from Rajasthan or Madhya Pradesh, India.
Dimensions: approximately 22 3/8 in high. ",Sculpture | Stele,Jain,2,,,,Oliver Forge | Brandon Lynch ,2016,
1017,Statue of Hanuman,Yes,2015,USA,Cambodia,Sandstone,Cambodia,"10th Century statue originating from Koh Ker, Cambodia, depicting Hanuman, a prominent deity in Hinduism. 
Dimensions: h 45 7/16 x w 21 1/16 x d 25 9/16 in.",Sculpture,Khmer,3,"Prasat Chen, Koh Ker, Cambodia",before 1968,,Douglas Latchford,1982,Cleveland Museum of Art
1032,Cornell Cuneiform Tablets,Yes,2013,USA,Iraq,Clay,Iraq,"The 10,000 inscribed clay blocks date from the 4th millenium BC include the Garsana archive, the private records of a 21st century BC Sumerian princess in the city of Garsana that has made scholars rethink the role of women in the ancient kingdom of Ur. The administrative records show Simat-Ishtaran ruled the estate after her husband died. 

Other tablets provide detailed administrative records of ancient life, including the procedures for temple rituals, the resettlement of refugees and the output of agricultural lands.",Information Artifact,Sumerian,1,Garsana ,,Iraq,Jonathan P. Rosen,1999,Herbert F. Johnson Museum of Art - Cornell University
1034,Orpheus Mosaic,Yes,2012,USA,Türkiye,Marble | Various,Türkiye,"Orpheus Taming Wild Animals. Eastern Roman Empire, near Edessa. Marble; mosaic. <br /><br />From Christie's catalog: The large square panel depicting Orpheus at the center seated upon a rock, his legs crossed at the ankles, playing the lyre with his raised left hand, his index and little finger extended, clad in a striped tunic and mantle, wearing a Phrygian cap, surrounded by the beasts his music has charmed, including a boar, a leopard, a bear, a lion, an ibex, a horse, a goat, a crow, and a small bird, with two inscriptions in Aramiac, one in the field to the left of Orpheus which reads: <em>""Son of Zagrios, the player, is playing;"" another below left in a panel which reads: ""In the month of Nijan, year of five hundred and five, I Papa, son of Papa, made for myself [this] house of rest [ ], for myself, and for my children and for my heirs. Blessed is he who sees [it] and pronounces a blessing""</em> <br /><br />Measurement is 64 in. X 60 in. (164.4 x 152.4 cm).",Visual Work,Roman,3,"Edessa, near modern Şanlıurfa",1950's,Türkiye,,1999,Dallas Museum of Art
1049,Silver Griffin Drinking Cup,Yes,2013,USA,Iran,Silver,Iran,"Silver rhyton (drinking cup) in the shape of a Griffin, which was allegedly from the Iranian Western Cave Treasure, and later suggested to be a modern forgery.",Vessel,Persian,2,"Kalmakarreh Cave, known as the Western Cave, in the Luristan province of western Iran",circa 1989,,Hicham Aboutaam,2000,
1075,Gold Phiale,Yes,2000,USA,Italy,Gold,Italy,"The phiale is a 24-karat gold libation bowl, dated to the 4th century BCE. The platter, known as a 'phiale mesomphalos', was used by the ancient Greeks to honor their gods. The bowl would have begun as a two-pound solid piece of gold, before it was hammered by a master artisan into a shallow platter. After, shapes of acorns, beechnuts and bees were indented into the outer workings of the bowl. In the middle, a round knob symbolized the mythological navel of the universe. An inscription was also inscribed along the edge, written in a Greek-Doric dialect that was spoken in Sicilian-Greek colonies.","Vessel – pots, amphorae, vases, kraters",Greek,2,"Caltavuturo, Sicily",Unknown,"Sicily, Italy",Vincenzo Cammarata | William Veres | Robert Haber,1991,
1077,Footsteps of the Buddha,Yes,2016,USA,Pakistan,Bronze,Pakistan,"2nd Century Buddhapada sculpture, depicting the footprints of the Buddha.",Sculpture,,3,"Swat Valley, Pakistan",1982,,Tatsuzo Kaku | Alexander Gotz,1982,
1113,Lekanis,Yes,2007,USA,Italy,Marble | Paint,Italy,Painted marble lekanis (ceremonial basin) with a painted scene from Homer’s “Iliad.”,Vessel,Greek,2,"Tomb, ruins of Orta Nova (Puglia, Italy)",1976 or 1977,Italy,Giacomo Medici | Robert Hecht | Robin Symes,1985,J. Paul Getty Museum
1116,Lex Sacra,Yes,1992,USA,Italy,Lead,Italy,A fifth-century BCE lead tablet inscribed with instructions for a religious ritual and had been traced to a sanctuary of Demeter near the ancient Sicilian town of Selinunte. ,"Information Artifact – books, seals, plaques, scrolls",Greek,2,"Sanctuary of Zeus Meilichios. shrine of Demeter Malophoros, modern Selinunte, Italy",pre 1981,"Palazzo Milo Pappalardo, Trapani, Sicily",,1981,J. Paul Getty Museum
